,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
24,2020-08-21,357.3355291246586,286.91368971998645,417.7762190734352,357.3355291246586,357.3355291246586,-4.196486984256093,-4.196486984256093,-4.196486984256093,-4.196486984256093,-4.196486984256093,-4.196486984256093,0.0,0.0,0.0,353.1390421404025
25,2020-08-24,362.20741959425453,286.5148608855212,428.539750550093,362.20741959425453,362.20741959425453,-5.7471416423068655,-5.7471416423068655,-5.7471416423068655,-5.7471416423068655,-5.7471416423068655,-5.7471416423068655,0.0,0.0,0.0,356.46027795194766
26,2020-08-25,363.8313830841198,292.1806406351995,429.9602316365714,363.8313830841198,363.8313830841198,-3.0924933585463896,-3.0924933585463896,-3.0924933585463896,-3.0924933585463896,-3.0924933585463896,-3.0924933585463896,0.0,0.0,0.0,360.7388897255734
27,2020-08-26,365.4553465739851,294.8363808230802,431.76514353052823,365.45534657398514,365.45534657398514,-4.4486245001019284,-4.4486245001019284,-4.4486245001019284,-4.4486245001019284,-4.4486245001019284,-4.4486245001019284,0.0,0.0,0.0,361.00672207388317
28,2020-08-27,367.0793100638504,294.11790820983066,431.76617752278423,367.0793100638504,367.0793100638504,-4.54647150719108,-4.54647150719108,-4.54647150719108,-4.54647150719108,-4.54647150719108,-4.54647150719108,0.0,0.0,0.0,362.5328385566593
29,2020-08-28,368.70327355371575,293.28755853557897,435.64527987864085,368.70327355371575,368.70327355371575,-4.196486984226963,-4.196486984226963,-4.196486984226963,-4.196486984226963,-4.196486984226963,-4.196486984226963,0.0,0.0,0.0,364.5067865694888
30,2020-08-31,373.57516402331163,301.7859011784882,431.72255168416854,373.5751640233116,373.5751640233116,-5.74714164231704,-5.74714164231704,-5.74714164231704,-5.74714164231704,-5.74714164231704,-5.74714164231704,0.0,0.0,0.0,367.8280223809946
31,2020-09-01,375.1991275131769,302.61571160044554,445.22525906555603,375.1991275131769,375.1991275131769,-3.092493358537431,-3.092493358537431,-3.092493358537431,-3.092493358537431,-3.092493358537431,-3.092493358537431,0.0,0.0,0.0,372.1066341546395
32,2020-09-02,376.82309100304224,304.3917475149693,440.0393835028097,376.82309100304224,376.82309100304224,-4.4486245001056055,-4.4486245001056055,-4.4486245001056055,-4.4486245001056055,-4.4486245001056055,-4.4486245001056055,0.0,0.0,0.0,372.3744665029366
33,2020-09-03,378.4470545469561,305.6317666957047,443.8528226823682,378.4470545469561,378.4470545469561,-4.546471507208077,-4.546471507208077,-4.546471507208077,-4.546471507208077,-4.546471507208077,-4.546471507208077,0.0,0.0,0.0,373.900583039748
34,2020-09-04,380.07101809086987,308.8705754720217,444.30652120325425,380.07101809086987,380.07101809086987,-4.196486984230787,-4.196486984230787,-4.196486984230787,-4.196486984230787,-4.196486984230787,-4.196486984230787,0.0,0.0,0.0,375.8745311066391
35,2020-09-08,386.5668722665252,314.2992509477189,454.06227763960453,386.5668722665252,386.5668722665252,-3.092493358537205,-3.092493358537205,-3.092493358537205,-3.092493358537205,-3.092493358537205,-3.092493358537205,0.0,0.0,0.0,383.474378907988
36,2020-09-09,388.19083581043907,314.4989296444146,454.86005837678056,388.19083581043907,388.19083581043907,-4.448624500101497,-4.448624500101497,-4.448624500101497,-4.448624500101497,-4.448624500101497,-4.448624500101497,0.0,0.0,0.0,383.74221131033755
37,2020-09-10,389.81479935435283,322.574479734797,456.44712734937985,389.81479935435283,389.81479935435283,-4.546471507185132,-4.546471507185132,-4.546471507185132,-4.546471507185132,-4.546471507185132,-4.546471507185132,0.0,0.0,0.0,385.2683278471677
38,2020-09-11,391.43876289826665,319.1098728826138,456.62887258782246,391.43876289826665,391.43876289826665,-4.196486984218135,-4.196486984218135,-4.196486984218135,-4.196486984218135,-4.196486984218135,-4.196486984218135,0.0,0.0,0.0,387.2422759140485
39,2020-09-14,396.31065353000815,319.52450686664304,456.67154016684833,396.31065353000815,396.31065353000815,-5.74714164229602,-5.74714164229602,-5.74714164229602,-5.74714164229602,-5.74714164229602,-5.74714164229602,0.0,0.0,0.0,390.56351188771214
40,2020-09-15,397.93461707392197,325.98189767665957,466.90482709554226,397.93461707392197,397.93461707392197,-3.092493358536977,-3.092493358536977,-3.092493358536977,-3.092493358536977,-3.092493358536977,-3.092493358536977,0.0,0.0,0.0,394.842123715385
41,2020-09-16,399.5585805745181,327.48154708695887,467.3010994356847,399.5585805745181,399.5585805745181,-4.448624500101342,-4.448624500101342,-4.448624500101342,-4.448624500101342,-4.448624500101342,-4.448624500101342,0.0,0.0,0.0,395.10995607441674
42,2020-09-17,401.1825440751143,327.8966183954594,464.3301389573358,401.1825440751143,401.1825440751143,-4.546471507190858,-4.546471507190858,-4.546471507190858,-4.546471507190858,-4.546471507190858,-4.546471507190858,0.0,0.0,0.0,396.63607256792346
43,2020-09-18,402.80650757571044,326.7519310457376,469.60162866095106,402.80650757571044,402.80650757571044,-4.196486984205483,-4.196486984205483,-4.196486984205483,-4.196486984205483,-4.196486984205483,-4.196486984205483,0.0,0.0,0.0,398.61002059150496
44,2020-09-21,407.67839807749897,332.6546064380972,473.0444527631365,407.67839807749897,407.67839807749897,-5.747141642294496,-5.747141642294496,-5.747141642294496,-5.747141642294496,-5.747141642294496,-5.747141642294496,0.0,0.0,0.0,401.9312564352045
45,2020-09-22,409.3023615780951,342.32651447928515,474.92442254801676,409.3023615780951,409.3023615780951,-3.0924933585280203,-3.0924933585280203,-3.0924933585280203,-3.0924933585280203,-3.0924933585280203,-3.0924933585280203,0.0,0.0,0.0,406.20986821956706
46,2020-09-23,410.92632507869126,337.0387739502914,476.1608068197526,410.92632507869126,410.92632507869126,-4.448624500101189,-4.448624500101189,-4.448624500101189,-4.448624500101189,-4.448624500101189,-4.448624500101189,0.0,0.0,0.0,406.4777005785901
47,2020-09-24,412.55028857928744,342.7335580764394,474.98547214386673,412.55028857928744,412.55028857928744,-4.54647150718531,-4.54647150718531,-4.54647150718531,-4.54647150718531,-4.54647150718531,-4.54647150718531,0.0,0.0,0.0,408.00381707210215
48,2020-09-25,414.17425207988356,342.79662016435714,479.9574222728055,414.17425207988356,414.17425207988356,-4.196486984241855,-4.196486984241855,-4.196486984241855,-4.196486984241855,-4.196486984241855,-4.196486984241855,0.0,0.0,0.0,409.9777650956417
49,2020-09-28,419.04614273733483,345.9021366054727,479.04751674698815,419.04614273733483,419.04614273733483,-5.747141642304671,-5.747141642304671,-5.747141642304671,-5.747141642304671,-5.747141642304671,-5.747141642304671,0.0,0.0,0.0,413.2990010950302
50,2020-09-29,420.6701062898186,348.9924212572771,486.5943635720449,420.6701062898186,420.6701062898186,-3.092493358527794,-3.092493358527794,-3.092493358527794,-3.092493358527794,-3.092493358527794,-3.092493358527794,0.0,0.0,0.0,417.5776129312908
51,2020-09-30,422.29406984230235,351.9971224545017,487.24168296873177,422.29406984230235,422.29406984230235,-4.448624500104866,-4.448624500104866,-4.448624500104866,-4.448624500104866,-4.448624500104866,-4.448624500104866,0.0,0.0,0.0,417.8454453421975
52,2020-10-01,423.9180333947861,348.3469724949954,491.37926463099933,423.9180333947861,423.9180333947861,-4.546471507202305,-4.546471507202305,-4.546471507202305,-4.546471507202305,-4.546471507202305,-4.546471507202305,0.0,0.0,0.0,419.3715618875838
53,2020-10-02,425.5419969472698,350.6057804332906,486.2468907672913,425.5419969472698,425.5419969472698,-4.196486984245681,-4.196486984245681,-4.196486984245681,-4.196486984245681,-4.196486984245681,-4.196486984245681,0.0,0.0,0.0,421.34550996302414
54,2020-10-05,430.4138876047211,351.85869036201746,489.6877823633071,430.4138876047211,430.4138876047211,-5.747141642314845,-5.747141642314845,-5.747141642314845,-5.747141642314845,-5.747141642314845,-5.747141642314845,0.0,0.0,0.0,424.66674596240625
55,2020-10-06,432.03785115720484,362.7451381246548,493.5744150822532,432.03785115720484,432.03785115720484,-3.0924933585430185,-3.0924933585430185,-3.0924933585430185,-3.0924933585430185,-3.0924933585430185,-3.0924933585430185,0.0,0.0,0.0,428.9453577986618
56,2020-10-07,433.6618147096886,361.60259058353216,499.2874580054559,433.6618147096886,433.6618147096886,-4.448624500100881,-4.448624500100881,-4.448624500100881,-4.448624500100881,-4.448624500100881,-4.448624500100881,0.0,0.0,0.0,429.2131902095877
57,2020-10-08,435.2857790831331,359.3076102166011,493.814362819654,435.2857790831331,435.2857790831331,-4.5464715071967605,-4.5464715071967605,-4.5464715071967605,-4.5464715071967605,-4.5464715071967605,-4.5464715071967605,0.0,0.0,0.0,430.7393075759363
58,2020-10-09,436.9097434565776,363.6620482736273,506.89685686432045,436.9097434565776,436.9097434565776,-4.196486984216549,-4.196486984216549,-4.196486984216549,-4.196486984216549,-4.196486984216549,-4.196486984216549,0.0,0.0,0.0,432.713256472361
59,2020-10-12,441.7816365769112,368.4500206834992,503.1906333367182,441.7816365769112,441.7816365769112,-5.747141642325021,-5.747141642325021,-5.747141642325021,-5.747141642325021,-5.747141642325021,-5.747141642325021,0.0,0.0,0.0,436.0344949345862
60,2020-10-13,443.40560095035556,374.16609203178416,512.7400269316296,443.40560095035556,443.40560095035556,-3.092493358542794,-3.092493358542794,-3.092493358542794,-3.092493358542794,-3.092493358542794,-3.092493358542794,0.0,0.0,0.0,440.31310759181275
61,2020-10-14,445.02956532380017,374.5421410304259,510.178326340448,445.02956532380017,445.02956532380017,-4.4486245001006015,-4.4486245001006015,-4.4486245001006015,-4.4486245001006015,-4.4486245001006015,-4.4486245001006015,0.0,0.0,0.0,440.58094082369956
62,2020-10-15,446.65352969724466,371.5565713533098,508.6544284188627,446.65352969724466,446.65352969724466,-4.546471507202485,-4.546471507202485,-4.546471507202485,-4.546471507202485,-4.546471507202485,-4.546471507202485,0.0,0.0,0.0,442.10705819004215
63,2020-10-16,448.27749407068916,376.03905110040483,511.9522153628463,448.27749407068916,448.27749407068916,-4.196486984220375,-4.196486984220375,-4.196486984220375,-4.196486984220375,-4.196486984220375,-4.196486984220375,0.0,0.0,0.0,444.0810070864688
64,2020-10-19,453.1493871910227,371.5328373383099,514.4658257796019,453.1493871910227,453.1493871910227,-5.747141642323495,-5.747141642323495,-5.747141642323495,-5.747141642323495,-5.747141642323495,-5.747141642323495,0.0,0.0,0.0,447.4022455486992
65,2020-10-20,455.16407821909826,379.68003033205406,514.5164858580312,455.16407821909826,455.16407821909826,-3.0924933585338334,-3.0924933585338334,-3.0924933585338334,-3.0924933585338334,-3.0924933585338334,-3.0924933585338334,0.0,0.0,0.0,452.0715848605644
66,2020-10-21,457.1787692471739,378.4804846681826,522.4967320096044,457.1787692471739,457.1787692471739,-4.44862450010428,-4.44862450010428,-4.44862450010428,-4.44862450010428,-4.44862450010428,-4.44862450010428,0.0,0.0,0.0,452.7301447470696
67,2020-10-22,459.19346027524955,382.27409702186105,524.4562376301558,459.19346027524955,459.19346027524955,-4.5464715071908115,-4.5464715071908115,-4.5464715071908115,-4.5464715071908115,-4.5464715071908115,-4.5464715071908115,0.0,0.0,0.0,454.64698876805875
68,2020-10-23,461.2081513033251,392.1859064548993,527.484869767737,461.2081513033251,461.2081513033251,-4.196486984207721,-4.196486984207721,-4.196486984207721,-4.196486984207721,-4.196486984207721,-4.196486984207721,0.0,0.0,0.0,457.0116643191174
69,2020-10-26,467.2522243875519,392.75888276459614,528.0584470801085,467.2522243875519,467.2522243875519,-5.747141642345369,-5.747141642345369,-5.747141642345369,-5.747141642345369,-5.747141642345369,-5.747141642345369,0.0,0.0,0.0,461.50508274520655
70,2020-10-27,469.2669154156275,402.05382680673983,531.212922542863,469.2669154156275,469.2669154156275,-3.0924933585336087,-3.0924933585336087,-3.0924933585336087,-3.0924933585336087,-3.0924933585336087,-3.0924933585336087,0.0,0.0,0.0,466.1744220570939
71,2020-10-28,471.2816064437031,398.185197648544,535.2649916736907,471.2816064437031,471.2816064437031,-4.448624500100295,-4.448624500100295,-4.448624500100295,-4.448624500100295,-4.448624500100295,-4.448624500100295,0.0,0.0,0.0,466.83298194360276
72,2020-10-29,473.29629747177876,397.447000796952,538.9270178034001,473.29629747177876,473.29629747177876,-4.546471507196537,-4.546471507196537,-4.546471507196537,-4.546471507196537,-4.546471507196537,-4.546471507196537,0.0,0.0,0.0,468.7498259645822
73,2020-10-30,476.3182266651404,405.44613067238964,537.9388080106498,476.3182266651404,476.3182266651404,-4.196486984211546,-4.196486984211546,-4.196486984211546,-4.196486984211546,-4.196486984211546,-4.196486984211546,0.0,0.0,0.0,472.12173968092884
